"類型 Class","觀 光 遊 憩 區 Scenic Spots","縣 市 別Location","1月Jan.","2月Feb.","3月Mar.","4月Apr.","5月May","6月Jun.","7月Jul.","8月Aug.","9月Sep.","10月Oct.","11月Nov.","12月Dec.","合計Total",,,,,,,,
,"小野柳(加路蘭)
Jialulan",臺東縣 Taitung County,"11,946 ","30,476 ",15492 ,"24,431 ",17479 ,"18,278 ",27800 ,"25,745 ",14412 ,"20,851 ",18252 ,"15,091 ","240,253 ",,,,,,,,
國家風景區,"三仙臺
Sansiantai",臺東縣 Taitung County,"39,428 ","75,932 ",57752 ,"70,801 ",55161 ,"51,975 ",72764 ,"67,471 ",47920 ,"61,439 ",60348 ,"54,026 ","715,017 ",,,,,,,,
,"八仙洞
Basian Cave",臺東縣 Taitung County,"4,054 ","45,457 ",5778 ,"7,790 ",5919 ,"7,354 ",10474 ,"10,446 ",6034 ,"7,640 ",6975 ,"6,041 ","123,962 ",,,,,,,,
,"綠島
Lyudao ( Green Island )",臺東縣 Taitung County,"5,615 ","16,406 ",11160 ,"32,678 ",33999 ,"46,135 ",69856 ,"51,699 ",32166 ,"22,393 ",9015 ,"6,274 ","337,396 ",,,,,,,,
,"都歷處本部
East Coast National Scenic Area Administration Headquarters",臺東縣 Taitung County,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,287 ","8,287 ",,,,,,,,
,"澎湖國家風景區
Penghu National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
National Scenic Areas,"澎湖遊客中心
Penghu Visitor Center",澎湖縣 Penghu County,"1,462 ","1,692 ",4315 ,"16,928 ",24397 ,"24,348 ",27024 ,"19,653 ",15932 ,"7,161 ",2767 ,"2,323 ","148,002 ",,,,,,,,
,"南海遊客中心
South Sea Visitor Center",澎湖縣 Penghu County,"6,827 ","7,188 ",12081 ,"46,242 ",69604 ,"75,042 ",79350 ,"55,929 ",41836 ,"15,148 ",6711 ,"5,915 ","421,873 ",,,,,,,,
,"北海遊客中心
North Sea Visitor Center",澎湖縣 Penghu County,"4,143 ","4,837 ",7285 ,"26,556 ",48752 ,"60,942 ",72544 ,"51,306 ",31751 ,"6,224 ",2195 ,"1,878 ","318,413 ",,,,,,,,
,"吉貝遊客中心
Jibei Visitor Center",澎湖縣 Penghu County,"1,991 ","2,175 ",3762 ,"27,084 ",49514 ,"63,824 ",75737 ,"53,218 ",31075 ,"7,067 ",2480 ,"1,977 ","319,904 ",,,,,,,,
,"澎湖水族館
Penghu Aquarium",澎湖縣 Penghu County,763 ,"3,413 ",3603 ,"12,896 ",16152 ,"18,074 ",25497 ,"18,818 ",10787 ,"4,995 ",2796 ,809 ,"118,603 ",,,,,,,,
,"西嶼西臺
Siyu Western Fort",澎湖縣 Penghu County,684 ,456 ,2039 ,"10,186 ",15203 ,"15,895 ",19253 ,"13,158 ",8521 ,"3,537 ",1377 ,798 ,"91,107 ",,,,,,,,
,小門地質展示中心                                                                                 Siaomen Geology Gallery,澎湖縣 Penghu County,"3,420 ","5,893 ",7631 ,"19,216 ",33920 ,"31,399 ",40101 ,"31,694 ",22995 ,"11,186 ",3225 ,"1,798 ","212,478 ",,,,,,,,
,"綠蠵龜觀光保育中心 
Green Turtle Tourism and Conservation Center",澎湖縣 Penghu County,0 ,132 ,1619 ,"25,624 ",44660 ,"45,237 ",58341 ,"42,185 ",22688 ,"4,218 ",396 ,0 ,"245,100 ",,,,,,,,
,"七美人塚◎
Seven Beauties Tomb",澎湖縣 Penghu County,0 ,0 ,0 ,"5,048 ",7033 ,"4,788 ",4394 ,"2,329 ",1967 ,106 ,106 ,0 ,"25,771 ",,,,,,,,
,"大鵬灣國家風景區
Dapeng Bay National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"琉球風景區
Liouciou Scenic Area",屏東縣 Pingtung County,"9,258 ","29,806 ",17576 ,"39,396 ",27342 ,"44,724 ",54000 ,"49,668 ",32568 ,"36,301 ",25657 ,"12,495 ","378,791 ",,,,,,,,
,"大鵬營區
Dapeng Camp",屏東縣 Pingtung County,"3,487 ","22,558 ",1631 ,"7,000 ",8366 ,"26,824 ",33366 ,"11,629 ",10482 ,"20,479 ",30638 ,"28,863 ","205,323 ",,,,,,,,
,"花東縱谷國家風景區
East Rift Valley National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
,"鯉魚潭風景特定區
Liyu Lake Scenic Area",花蓮縣 Hualien County,"82,446 ","244,707 ",78665 ,"96,887 ",80036 ,"92,375 ",128127 ,"111,638 ",80676 ,"83,745 ",85079 ,"90,334 ","1,254,715 ",,,,,,,,
,池南國家森林遊樂區◎                                                                           Chihnan National Forest Recreation Area,花蓮縣 Hualien County,"1,092 ","5,200 ",2736 ,"4,855 ",2770 ,"2,191 ",3656 ,"3,793 ",2183 ,"2,765 ",3621 ,"2,118 ","36,980 ",,,,,,,,
,"新光兆豐休閒農場
Jhaofong Leisure Farm",花蓮縣 Hualien County,"11,849 ","37,676 ",14338 ,"19,828 ",15515 ,"17,170 ",27525 ,"24,997 ",12443 ,"15,700 ",14415 ,"11,318 ","222,774 ",,,,,,,,
,富源國家森林遊樂區◎                                                                          Fuyuan National Forest Recreation Area,花蓮縣 Hualien County,"3,175 ","9,670 ",4577 ,"5,302 ",3180 ,"5,136 ",6089 ,"5,566 ",3555 ,"4,145 ",4447 ,"3,819 ","58,661 ",,,,,,,,
,"花蓮觀光糖廠
Hualien Tourism Sugar Factory",花蓮縣 Hualien County,"22,873 ","86,261 ",37877 ,"42,604 ",77219 ,"60,044 ",90647 ,"101,308 ",50251 ,"42,730 ",35357 ,"26,211 ","673,382 ",,,,,,,,
,"立川漁場
Li Chuan Aquafarm",花蓮縣 Hualien County,"8,100 ","26,250 ",37877 ,"17,280 ",21000 ,"29,750 ",38680 ,"52,000 ",23580 ,"23,818 ",21000 ,"16,680 ","316,015 ",,,,,,,,
,"關山親水公園
Guanshan Water Park",臺東縣 Taitung County,"7,993 ","28,546 ",6779 ,"9,166 ",5935 ,"8,348 ",15187 ,"13,994 ",6017 ,"8,681 ",8181 ,"6,850 ","125,677 ",,,,,,,,
,"池上牧野渡假村
Chihshang Pastoral T.S.C",臺東縣 Taitung County,"4,411 ","11,959 ",4075 ,"7,894 ",3943 ,"5,956 ",12338 ,"12,020 ",5866 ,"6,520 ",7860 ,"7,607 ","90,449 ",,,,,,,,
國家風景區,"初鹿牧場
Chulu Pasturage",臺東縣 Taitung County,"22,101 ","76,259 ",20554 ,"27,505 ",16561 ,"29,160 ",57767 ,"51,853 ",22562 ,"25,873 ",23145 ,"22,670 ","396,010 ",,,,,,,,
,"鹿野高臺
Luyeh High Terrace",臺東縣 Taitung County,"13,135 ","48,025 ",22591 ,"30,114 ",28155 ,"79,711 ",117795 ,"86,074 ",30163 ,"31,712 ",27990 ,"22,982 ","538,447 ",,,,,,,,
,"原生應用植物園◎
Yuan Sen Applied Botanical Garden",臺東縣 Taitung County,"11,785 ","18,384 ",15120 ,"20,381 ",16598 ,"19,275 ",28718 ,"29,791 ",14617 ,"19,462 ",20419 ,"15,517 ","230,067 ",,,,,,,,
,"布農部落◎
Bunun Leisure Farming",臺東縣 Taitung County,"6,205 ","12,802 ",6567 ,"7,711 ",7065 ,"8,108 ",14070 ,"12,426 ",5431 ,"8,666 ",9110 ,"7,245 ","105,406 ",,,,,,,,
,"馬祖國家風景區
Matsu National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
National Scenic Areas,"北竿遊客中心
Beigan Visitor Center",連江縣 Lienchiang County ,643 ,"1,494 ",1388 ,"3,182 ",3941 ,"7,093 ",6820 ,"5,919 ",6860 ,"5,830 ",5228 ,"5,768 ","54,166 ",,,,,,,,
,"莒光遊客中心
Juguang Visitor Center",連江縣 Lienchiang County ,280 ,690 ,566 ,"1,543 ",1552 ,"2,583 ",2637 ,"2,209 ",1813 ,"1,939 ",925 ,320 ,"17,057 ",,,,,,,,
,"東引遊客中心
Dongyin Visitor Center",連江縣 Lienchiang County ,202 ,500 ,537 ,474 ,1451 ,"1,936 ",2102 ,"1,726 ",1467 ,811 ,346 ,341 ,"11,893 ",,,,,,,,
,"南竿遊客中心
Nangan Visitor Center",連江縣 Lienchiang County ,"1,088 ","1,691 ",2454 ,"3,921 ",4107 ,"7,538 ",9183 ,"8,079 ",10106 ,"8,073 ",5507 ,"6,066 ","67,813 ",,,,,,,,
,"日月潭國家風景區
Sun Moon Lake National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"日月潭風景區
The Sunmoonlake Scenic Area",南投縣 Nantou County,"278,025 ","781,181 ",501699 ,"405,240 ",267023 ,"307,550 ",318434 ,"347,076 ",264556 ,"329,396 ",300250 ,"293,990 ","4,394,420 ",,,,,,,,
,"九族文化村◎
Formosan Aboriginal Culture Village",南投縣 Nantou County,"61,431 ","248,414 ",125732 ,"73,767 ",46875 ,"73,213 ",67034 ,"77,647 ",47688 ,"68,049 ",65689 ,"66,204 ","1,021,743 ",,,,,,,,
,"水里蛇窯
Shueili Snake Kiln",南投縣 Nantou County,"4,625 ","11,060 ",4578 ,"4,389 ",3374 ,"4,318 ",5658 ,"5,712 ",3933 ,"3,723 ",4565 ,"5,404 ","61,339 ",,,,,,,,
,"車埕
Checheng",南投縣 Nantou County,"92,856 ","141,491 ",104212 ,"100,181 ",93406 ,"99,935 ",103341 ,"104,348 ",98865 ,"103,880 ",107039 ,"88,205 ","1,237,759 ",,,,,,,,
,"參山國家風景區
Tri-Mountain National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"獅頭山風景區
Lion's Head Mountain Scenic Area","新竹縣 Hsinchu County
苗栗縣 Miaoli County","619,511 ","669,319 ",428149 ,"611,454 ",379358 ,"511,943 ",409037 ,"392,225 ",362987 ,"378,586 ",304713 ,"313,828 ","5,381,110 ",,,,,,,,
,"梨山遊憩區
Lishan Recreation Area",臺中市 Taichung City,"27,885 ","71,809 ",49922 ,"21,838 ",19793 ,"27,433 ",26732 ,"20,247 ",15479 ,"28,896 ",56189 ,"24,377 ","390,600 ",,,,,,,,
,"谷關遊憩區
Guguan Recreation Area",臺中市 Taichung City,"163,651 ","169,457 ",76114 ,"151,663 ",158041 ,"146,663 ",99236 ,"114,922 ",247107 ,"193,097 ",129656 ,"137,190 ","1,786,797 ",,,,,,,,
,"八卦山風景區
Mt. Bagua Scenic Area","彰化縣 Changhua County
南投縣 Nantou County","383,462 ","787,360 ",435649 ,"383,242 ",290043 ,"374,177 ",314491 ,"255,297 ",294803 ,"278,349 ",321750 ,"307,462 ","4,426,085 ",,,,,,,,
,"阿里山國家風景區
Alishan National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
,"瑞太遊客服務中心
Rueili-Taihe Visitor Center",嘉義縣 Chiayi County,"1,644 ","7,600 ",3050 ,"4,103 ",1997 ,"2,291 ",2059 ,"3,198 ",1970 ,"2,873 ",2916 ,"2,733 ","36,434 ",,,,,,,,
,"圓潭自然生態園區
Yuantan Ecological Park",嘉義縣 Chiayi County,"4,051 ","14,514 ",9329 ,"9,556 ",8484 ,"8,482 ",9287 ,"7,102 ",6309 ,"8,167 ",6446 ,"8,349 ","100,076 ",,,,,,,,
,阿里山國家森林遊樂區◎                                                                      Alishan National Forest Recreation Area,嘉義縣 Chiayi County,"150,852 ","186,552 ",298672 ,"230,723 ",140853 ,"138,049 ",146244 ,"145,546 ",134402 ,"143,538 ",172775 ,"175,360 ","2,063,566 ",,,,,,,,
,"達娜伊谷
Danayigu",嘉義縣 Chiayi County,"2,102 ","5,337 ",5132 ,"5,334 ",4029 ,"5,192 ",4729 ,"3,849 ",4148 ,"5,109 ",6588 ,"6,226 ","57,775 ",,,,,,,,
,"茂林國家風景區
Maolin National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
國家風景區,茂林風景區〈含情人谷、多納溫泉〉                                                                                                                           Maolin Scenic Area (including Lovers' Valley and Duona Springs),高雄市 Kaohsiung City,"6,733 ","33,254 ",4130 ,"2,146 ",2400 ,"2,946 ",1983 ,"2,240 ",2787 ,"2,998 ",10015 ,"15,667 ","87,299 ",,,,,,,,
,"寶來、不老溫泉區
Boalai, Bulao Hot Springs",高雄市 Kaohsiung City,"7,701 ","12,326 ",7488 ,"4,499 ",3111 ,"3,576 ",2601 ,"3,126 ",1890 ,"3,666 ",7476 ,"6,843 ","64,303 ",,,,,,,,
,"臺灣原住民文化園區
Taiwan Aboriginal Culture Park",屏東縣 Pingtung County,"16,646 ","85,228 ",23973 ,"21,881 ",19588 ,"16,854 ",20221 ,"18,123 ",14781 ,"20,952 ",24391 ,"26,629 ","309,267 ",,,,,,,,
,"賽嘉遊憩區
Saijia Recreation Area",屏東縣 Pingtung County,"1,761 ","8,020 ",1610 ,"2,188 ",1344 ,"1,937 ",1600 ,"1,518 ",2065 ,"2,281 ",2337 ,"2,174 ","28,835 ",,,,,,,,
,"霧臺遊憩區
Wutai Recreation Area",屏東縣 Pingtung County,"3,899 ","16,998 ",4059 ,"3,040 ",1871 ,"2,482 ",2572 ,"1,886 ",1858 ,"11,485 ",12661 ,"13,180 ","75,991 ",,,,,,,,
National Scenic Areas,"瑪家遊客中心
Majia Visitor Center",屏東縣 Pingtung County,"13,835 ","19,986 ",10130 ,"10,396 ",8775 ,"14,057 ",11021 ,"3,081 ",8916 ,"10,700 ",8141 ,"9,794 ","128,832 ",,,,,,,,
,"北海岸及觀音山國家風景區
North Coast & Guanyinshan National Scenic Area     ",,,,,,,,,,,,,,,,,,,,,,
,"野柳風景區
Yeliou Scenic Area",新北市 New Taipei City,"176,770 ","210,705 ",264688 ,"291,090 ",222288 ,"202,610 ",208315 ,"237,960 ",223908 ,"225,973 ",267157 ,"248,634 ","2,780,098 ",,,,,,,,
,"野柳海洋世界◎
Yeliou Ocean World",新北市 New Taipei City,"3,290 ","7,393 ",7820 ,"8,873 ",12577 ,"13,536 ",8992 ,"13,602 ",10649 ,"15,250 ",20408 ,"11,755 ","134,145 ",,,,,,,,
,"金山遊客中心
Jinshan Visitor Center",新北市 New Taipei City,"9,322 ","13,267 ",15558 ,"14,748 ",14345 ,"13,716 ",15709 ,"13,973 ",16225 ,"22,549 ",18546 ,"12,410 ","180,368 ",,,,,,,,
,"三芝遊客中心
Sanjhih Visitor Center",新北市 New Taipei City,"8,324 ","38,144 ",25040 ,"10,980 ",10222 ,"12,174 ",10776 ,"11,258 ",11607 ,"17,080 ",12383 ,"6,351 ","174,339 ",,,,,,,,
,"金山溫泉館
Jinshan Hot-Spring Gym Pool",新北市 New Taipei City,881 ,"2,088 ",768 ,624 ,666 ,817 ,738 ,975 ,911 ,888 ,818 ,"1,252 ","11,426 ",,,,,,,,
,"白沙灣
Baishawan",新北市 New Taipei City,"14,782 ","26,695 ",34682 ,"30,566 ",59157 ,"134,739 ",112727 ,"81,096 ",94663 ,"38,190 ",26148 ,"14,234 ","667,679 ",,,,,,,,
,"翡翠灣濱海遊樂區◎
Green Bay",新北市 New Taipei City,"9,787 ","7,952 ",10522 ,"11,004 ",9161 ,"16,647 ",17830 ,"20,244 ",12204 ,"9,106 ",8325 ,"8,161 ","140,943 ",,,,,,,,
,"觀音山
Guanyinshan",新北市 New Taipei City,"45,139 ","66,414 ",59722 ,"42,693 ",72517 ,"109,655 ",88280 ,"77,827 ",120321 ,"64,939 ",85549 ,"44,303 ","877,359 ",,,,,,,,
,"雲嘉南濱海國家風景區
Southwest Coast National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"布袋遊客中心
Budai Visitor Center",嘉義縣 Chiayi County,"4,655 ","23,053 ",5061 ,"5,692 ",5527 ,"7,484 ",5519 ,"5,248 ",5374 ,"6,649 ",4256 ,"3,482 ","82,000 ",,,,,,,,
,"七股鹽山
Cigu Salt Mountains",臺南市 Tainan City,"46,358 ","134,667 ",49298 ,"51,702 ",66353 ,"75,181 ",55029 ,"54,522 ",44456 ,"53,124 ",56855 ,"49,372 ","736,917 ",,,,,,,,
,"臺灣鹽博物館◎
Taiwan Salt Museum",臺南市 Tainan City,"6,035 ","17,923 ",5256 ,"6,918 ",10152 ,"11,354 ",9294 ,"9,339 ",4465 ,"6,391 ",4279 ,"4,631 ","96,037 ",,,,,,,,
,"北門遊客中心
Beimen Visitor Center",臺南市 Tainan City,"11,239 ","31,267 ",14463 ,"18,429 ",15861 ,"14,699 ",13531 ,"12,118 ",12762 ,"18,398 ",18778 ,"23,309 ","204,854 ",,,,,,,,
,"井仔腳瓦盤鹽田
Jingzaijiao Tile-paved Salt Fields",臺南市 Tainan City,"11,443 ","24,531 ",16249 ,"18,857 ",18256 ,"17,924 ",15435 ,"12,928 ",16227 ,"24,478 ",24452 ,"20,785 ","221,565 ",,,,,,,,
國家風景區,"西拉雅國家風景區
Siraya National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"尖山埤江南渡假村◎
Jianshanbi Scenic Area ",臺南市 Tainan City,"9,796 ","23,028 ",14129 ,"19,173 ",10347 ,"8,700 ",12289 ,"8,854 ",13791 ,"29,303 ",28563 ,"28,358 ","206,331 ",,,,,,,,
,曾文水庫◎                                                                                                     Zengwun Dam,臺南市 Tainan City,"16,409 ","30,195 ",18378 ,"18,882 ",15932 ,"15,337 ",18354 ,"17,033 ",19527 ,"29,212 ",26167 ,"29,574 ","255,000 ",,,,,,,,
,"烏山頭水庫風景區◎
Wu Shan Tou Reservoir",臺南市 Tainan City,"7,811 ","42,191 ",19512 ,"9,380 ",13272 ,"15,707 ",17599 ,"16,409 ",14555 ,"16,906 ",15493 ,"12,756 ","201,591 ",,,,,,,,
,"虎頭埤風景區◎
Hutoubei Scenic Area",臺南市 Tainan City,"35,102 ","55,711 ",28505 ,"29,246 ",21437 ,"37,671 ",25625 ,"21,956 ",25996 ,"30,098 ",32534 ,"27,678 ","371,559 ",,,,,,,,
,"南元休閒農場
Nan Yuan Resort Farm",臺南市 Tainan City,"9,212 ","24,239 ",12519 ,"12,426 ",8805 ,"8,751 ",9003 ,"7,509 ",5805 ,"10,438 ",12130 ,"10,254 ","131,091 ",,,,,,,,
,"走馬瀨農場◎ 
Tsou-Ma-Lai Farm",臺南市 Tainan City,"186,603 ","316,622 ",37150 ,"44,095 ",28510 ,"33,532 ",45758 ,"28,574 ",22843 ,"62,765 ",37123 ,"31,751 ","875,326 ",,,,,,,,
,"墾丁國家公園
Kenting National Park",,,,,,,,,,,,,,,,,,,,,,
,"墾丁國家公園管理處遊客中心
Kenting National Park Headquarters Visitor Center",屏東縣 Pingtung County,"11,753 ","9,195 ",16339 ,"15,193 ",12788 ,"17,305 ",24518 ,"25,097 ",22366 ,"33,060 ",29364 ,"29,186 ","246,164 ",,,,,,,,
國家公園,"鵝鑾鼻公園
Eluanbi Park",屏東縣 Pingtung County,"75,749 ","116,169 ",97726 ,"136,287 ",119027 ,"108,756 ",147142 ,"142,143 ",102581 ,"139,502 ",115379 ,"118,162 ","1,418,623 ",,,,,,,,
,貓鼻頭公園                                                                                           Maobitou Park,屏東縣 Pingtung County,"148,567 ","172,044 ",212723 ,"295,292 ",206972 ,"160,380 ",204397 ,"197,884 ",164260 ,"190,992 ",190321 ,"21,254 ","2,165,086 ",,,,,,,,
,"墾丁國家森林遊樂區◎
Kenting National Forest Recreation Area",屏東縣 Pingtung County,"9,588 ","25,470 ",15292 ,"16,509 ",11597 ,"14,020 ",17931 ,"12,932 ",10315 ,"18,476 ",14474 ,"14,254 ","180,858 ",,,,,,,,
,"佳樂水
Jialeshuei",屏東縣 Pingtung County,"7,491 ","24,942 ",11958 ,"16,153 ",13660 ,"17,660 ",23259 ,"22,773 ",8882 ,"33,254 ",14573 ,"12,294 ","206,899 ",,,,,,,,
National Parks,社頂自然公園                                                                                         Sheding Nature Park,屏東縣 Pingtung County,"33,098 ","46,373 ",46200 ,"63,595 ",48090 ,"41,165 ",53738 ,"51,423 ",39141 ,"52,263 ",45765 ,"22,690 ","543,541 ",,,,,,,,
,"南灣遊憩區
Nanwam Recreation Area",屏東縣 Pingtung County,"12,128 ","26,542 ",22932 ,"28,384 ",33242 ,"48,756 ",56483 ,"38,306 ",27368 ,"20,686 ",15398 ,"12,064 ","342,289 ",,,,,,,,
,"龍鑾潭自然中心
Longluan Lake Nature Center",屏東縣 Pingtung County,"6,667 ","8,643 ",7484 ,"10,949 ",7902 ,"7,050 ",7603 ,"7,051 ",6752 ,"13,113 ",10663 ,"8,318 ","102,195 ",,,,,,,,
,"砂島貝殼砂展示館
Shadao Shell Beach Exhibition Hall",屏東縣 Pingtung County,"9,040 ","12,915 ",10575 ,"18,436 ",14320 ,"12,900 ",19940 ,"13,197 ",10520 ,"11,956 ",8635 ,"9,755 ","152,189 ",,,,,,,,
,"國立海洋生物博物館◎
National Museum of Marine Biology & Aquarium",屏東縣 Pingtung County,"43,106 ","132,311 ",71500 ,"91,478 ",89496 ,"118,851 ",187865 ,"187,865 ",112867 ,"112,374 ",84845 ,"67,998 ","1,300,556 ",,,,,,,,
,"玉山國家公園
Yushan National Park",,,,,,,,,,,,,,,,,,,,,,
,管理處遊客服務中心                                                                       Headquarters Visitor Center,南投縣 Nantou County,"14,978 ","9,523 ",9128 ,"9,833 ",8567 ,"10,890 ",10853 ,"11,071 ",9828 ,"12,708 ",10034 ,"12,272 ","129,685 ",,,,,,,,
,"排雲山莊
Paiyun Lodge",南投縣 Nantou County,464 ,29 ,1232 ,"1,989 ",1514 ,"3,815 ",3133 ,"2,632 ",2903 ,"3,582 ",3803 ,"2,841 ","27,937 ",,,,,,,,
,"塔塔加遊憩區
Tataka Recreation Area",南投縣 Nantou County                       嘉義縣 Chiayi County,"58,010 ","102,555 ",63474 ,"65,522 ",55806 ,"47,415 ",39634 ,"41,606 ",51046 ,"56,146 ",58063 ,"50,601 ","689,878 ",,,,,,,,
